215,NextEra Energy,https://www.nexteraenergy.com/
216,Targa Resources,https://www.targaresources.com/
217,Western Digital,https://www.westerndigital.com/
218,PPG Industries,https://www.ppg.com/
219,American Electric Power,https://www.aep.com/
220,Gap,https://www.gap.com/
221,BJ's Wholesale Club,https://www.bjs.com/
222,Reinsurance Group of,https://www.rgare.com/
223,Kinder Morgan,https://www.kindermorgan.com/
224,Oneok,https://www.oneok.com/
225,Expeditors Intl. of Washington,https://www.expeditors.com/
226,Advanced Micro Devices,https://www.amd.com/
227,Fiserv,https://www.fiserv.com/
228,Estée Lauder,https://www.elcompanies.com/
229,Bank of New York Mellon,https://www.bnymellon.com/
230,Laboratory Corp. of America,https://www.labcorp.com/
231,Regeneron Pharmaceuticals,https://www.regeneron.com/
232,Land O'Lakes,https://www.landolakesinc.com/
233,Cheniere Energy,https://www.cheniere.com/
234,Southwest Airlines,https://www.southwest.com/
235,Adobe,https://www.adobe.com/
236,Synchrony Financial,https://www.synchrony.com/
237,Corteva,https://www.corteva.com/
238,Fidelity National Financial,https://fnf.com/
239,DTEEnergy,https://www.newlook.dteenergy.com/
240,Murphy USA,https://www.murphyusa.com/
241,Halliburton,https://www.halliburton.com/
242,Automatic Data Processing,https://www.adp.com/
243,Edison International,https://www.edison.com/
244,BorgWarner,https://www.borgwarner.com/
245,Nordstrom,https://www.nordstrom.com/
246,Loews,https://loews.com/
247,Guardian Life Ins. Co. of America,https://www.guardianlife.com/
248,Pioneer Natural Resources,https://www.pxd.com/
249,AutoZone,https://www.autozone.com/
250,Lam Research,https://www.lamresearch.com/
